P10_2D_concentrate 10 mg/L -2 Day of Solution time 9,000s
132,Blue_1,109
133,Blue_2,64
134,Blue_3,63
135,Blue_4,64
136,Blue_5,64
137,Blue_6,67
138,Blue_7,64
139,Blue_8,65
140,Blue_9,67
141,Blue_10,66
142,Blue_11,63
143,Blue_12,66
144,Blue_13,64
145,Blue_14,69
146,Blue_15,62
147,Black_1,61
148,Black_2,5
149,Black_3,5
150,Black_4,4
151,Black_5,5
152,Black_6,5
153,Black_7,6
154,Black_8,5
155,Black_9,5
156,Black_10,5
157,Black_11,5
158,Black_12,5
159,Black_13,5
160,Black_14,5
161,Black_0,5
162,Black_0,5
163,Black_0,5
164,Black_0,5
165,Black_0,4
166,Black_0,5
167,Black_0,5
168,Black_0,6
169,Black_0,5
170,Black_0,5
171,Black_0,6
172,Black_0,5
173,Black_0,6
174,Black_0,5
175,Black_0,4
176,White_1,4
177,White_2,276
178,White_3,284
179,White_4,278
180,White_5,283
181,White_6,278
182,White_7,278
183,White_8,276
184,White_9,277
185,White_10,279
186,White_11,276
187,White_12,279
188,White_13,282
189,White_14,281
190,Red_1,279
191,Red_2,119
192,Red_3,119
193,Red_4,118
194,Red_5,117
195,Red_6,120
196,Red_7,116
197,Red_8,119
198,Red_9,120
199,Red_10,113
200,Red_11,120
201,Red_12,117
202,Red_13,120
203,Red_14,117
204,Red_15,115
205,Green_1,115
206,Green_2,110
207,Green_3,110
208,Green_4,109
209,Green_5,111
210,Green_6,108
211,Green_7,108
212,Green_8,112
213,Green_9,114
214,Green_10,111
215,Green_11,111
216,Green_12,110
217,Green_13,107
218,Green_14,113
219,Blue_1,107
220,Blue_2,64
221,Blue_3,63
222,Blue_4,63
223,Blue_5,67
224,Blue_6,65
225,Blue_7,65
226,Blue_8,64
227,Blue_9,64
228,Blue_10,63
229,Blue_11,65
230,Blue_12,65
231,Blue_13,63
232,Blue_14,62
233,Blue_15,68
234,Black_1,64
235,Black_2,5
236,Black_3,5
237,Black_4,4
238,Black_5,5
239,Black_6,5
240,Black_7,5
241,Black_8,5
242,Black_9,5
243,Black_10,5
244,Black_11,4
245,Black_12,5
246,Black_13,5
247,Black_14,5
248,Black_15,5
249,Black_0,5
250,Black_0,5
251,Black_0,5
252,Black_0,4
253,Black_0,5
254,Black_0,4
255,Black_0,5
256,Black_0,5
257,Black_0,5
258,Black_0,5
259,Black_0,4
260,Black_0,6
261,Black_0,4
262,Black_0,4
263,White_1,5
264,White_2,280
265,White_3,278
266,White_4,278
267,White_5,283
268,White_6,277
269,White_7,278
270,White_8,283
271,White_9,283
272,White_10,279
273,White_11,280
274,White_12,278
275,White_13,277
276,White_14,279
277,White_15,279
278,Red_1,278
279,Red_2,116
280,Red_3,114
281,Red_4,116
282,Red_5,114
283,Red_6,116
284,Red_7,114
285,Red_8,114
286,Red_9,117
287,Red_10,116
288,Red_11,114
289,Red_12,120
290,Red_13,114
291,Red_14,117
292,Green_1,118
293,Green_2,112
294,Green_3,106
295,Green_4,114
296,Green_5,111
297,Green_6,110
298,Green_7,111
299,Green_8,110
300,Green_9,107
301,Green_10,108
302,Green_11,108
303,Green_12,113
304,Green_13,106
305,Green_14,106
306,Green_15,107
307,Blue_1,108
308,Blue_2,64
309,Blue_3,66
310,Blue_4,67
311,Blue_5,68
312,Blue_6,63
313,Blue_7,65
314,Blue_8,65
315,Blue_9,62
316,Blue_10,66
317,Blue_11,65
318,Blue_12,65
319,Blue_13,61
320,Blue_14,65
321,Black_1,66
322,Black_2,4
323,Black_3,4
324,Black_4,5
325,Black_5,4
326,Black_6,5
327,Black_7,5
328,Black_8,4
329,Black_9,6
330,Black_10,4
331,Black_11,5
332,Black_12,4
333,Black_13,5
334,Black_14,5
335,Black_15,4
336,Black_0,4
337,Black_0,4
338,Black_0,5
339,Black_0,4
340,Black_0,5
341,Black_0,4
342,Black_0,5
343,Black_0,5
344,Black_0,5
345,Black_0,4
346,Black_0,4
347,Black_0,4
348,Black_0,4
349,Black_0,5
350,Black_0,4
351,White_1,4
352,White_2,278
353,White_3,285
354,White_4,276
355,White_5,277
356,White_6,281
357,White_7,277
358,White_8,278
359,White_9,282
360,White_10,280
