P10_1D_concentrate 10 mg/L -1Day of Solution time 9,000s
293,Green_2,69
294,Green_3,70
295,Green_4,71
296,Green_5,70
297,Green_6,76
298,Green_7,70
299,Green_8,76
300,Green_9,69
301,Green_10,69
302,Green_11,70
303,Green_12,71
304,Green_13,70
305,Green_14,73
306,Green_15,73
307,Blue_1,73
308,Blue_2,25
309,Blue_3,26
310,Blue_4,26
311,Blue_5,25
312,Blue_6,28
313,Blue_7,26
314,Blue_8,25
315,Blue_9,25
316,Blue_10,24
317,Blue_11,24
318,Blue_12,27
319,Blue_13,27
320,Blue_14,28
321,Black_1,28
322,Black_2,4
323,Black_3,4
324,Black_4,4
325,Black_5,4
326,Black_6,5
327,Black_7,4
328,Black_8,4
329,Black_9,4
330,Black_10,4
331,Black_11,5
332,Black_12,4
333,Black_13,4
334,Black_14,4
335,Black_15,4
336,Black_0,3
337,Black_0,4
338,Black_0,4
339,Black_0,4
340,Black_0,4
341,Black_0,3
342,Black_0,4
343,Black_0,4
344,Black_0,3
345,Black_0,4
346,Black_0,4
347,Black_0,4
348,Black_0,4
349,Black_0,4
350,Black_0,5
351,White_1,4
352,White_2,154
353,White_3,155
354,White_4,153
355,White_5,155
356,White_6,155
357,White_7,155
358,White_8,152
359,White_9,152
360,White_10,152
