PO4_02mgL_7  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร... NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
Light Source Color - WHITE	 , 28/03/2024,10:24:43
9,1,1,0
9,212,255,255
9,209,255,255
9,209,255,255
9,209,255,255
9,208,255,255
9,208,255,255
9,207,255,255
9,207,255,255
9,207,255,255
9,207,255,255
9,207,255,255
9,206,255,255
9,206,255,255
9,206,255,255
9,206,255,255
9,205,255,255
9,205,255,255
Light Source Color - OFF	 , 28/03/2024,10:24:56
10,156,205,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,10:25:08
11,2,1,0
11,185,11,21
11,184,11,21
11,184,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
11,183,11,21
Light Source Color - OFF	 , 28/03/2024,10:25:21
12,183,11,21
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,10:25:33
13,1,1,0
13,25,189,71
13,25,189,71
13,25,189,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,71
13,25,188,70
13,25,188,70
13,25,188,70
13,25,188,70
13,25,188,70
13,25,188,70
Light Source Color - OFF	 , 28/03/2024,10:25:46
14,21,151,57
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,10:25:58
15,1,1,0
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
15,4,79,255
Light Source Color - OFF	 , 28/03/2024,10:26:11
